contributor_id,count_contributor,name,slug,show,created_at,updated_at
159,1.0,penyunting bahasa,penyunting-bahasa,0,2020-02-06 08:00:22,2021-05-05 12:14:28
161,1.0,penyunting,penyunting,0,2020-02-24 07:51:39,2021-05-05 11:28:07
162,149.0,tata letak / layout,tata-letak-layout,0,2020-07-10 15:19:46,2021-05-06 07:48:17
163,474.0,desain isi,desain-isi,1,2020-07-16 15:51:42,2021-05-05 11:37:18
164,25.0,tim Produksi,tim-produksi,1,2019-11-20 09:57:51,2021-05-06 07:49:13
165,1119.0,penyanyi,penyanyi,0,2020-03-17 10:08:50,2020-03-17 10:08:50
166,2097.0,pemainbass,pemainbass,1,2020-03-17 10:08:50,2021-05-05 10:19:49
167,2301.0,pemaindrum,pemaindrum,1,2020-03-17 10:08:50,2021-05-05 10:19:46
168,14283.0,penyanyi/artis,penyanyiartis,1,2020-03-17 10:45:40,2021-05-05 10:19:42
169,24.0,musicdirector,musicdirector,1,2020-03-17 10:46:58,2021-05-05 10:19:38
170,3171.0,pemaingitar,pemaingitar,1,2020-03-17 11:01:39,2021-05-05 10:19:33
171,9.0,penyanyilatar,penyanyilatar,1,2020-03-17 11:01:39,2021-05-05 10:19:28
172,31.0,penulislirik,penulislirik,1,2020-03-17 14:13:15,2021-05-05 10:19:23
173,1265.0,pemainkeyboard,pemainkeyboard,1,2020-03-20 08:53:11,2021-05-05 10:19:03
174,6.0,additonal/sessionplayer,additonalsessionplayer,0,2020-04-01 07:24:41,2020-04-01 07:24:41
180,181.0,krulainnya,krulainnya,1,2020-06-11 12:40:56,2021-05-05 10:18:56
181,229.0,arranger/penatamusik,arrangerpenatamusik,1,2020-06-15 07:56:30,2021-05-05 10:18:36
183,85.0,additional/sessionplayer,additionalsessionplayer,1,2020-07-17 16:12:24,2021-05-05 10:18:41
184,5.0,soundengineer,soundengineer,1,2020-09-02 10:06:48,2021-05-05 10:18:48
185,5.0,Penanggung jawab,penanggung-jawab,1,2021-04-29 14:30:06,2021-05-05 10:18:21
186,,penyunting isi,penyunting-isi,0,2021-05-06 07:45:21,2021-05-06 07:51:33
187,21.0,penyelaras akhir,penyelaras-akhir,1,2021-05-06 07:48:53,2021-05-21 17:13:30
188,62.0,pemeriksa aksara,pemeriksa-aksara,1,2021-06-29 14:10:08,2021-06-29 14:10:08
189,1.0,Konsultan,konsultan,1,2021-06-30 15:38:45,2021-06-30 15:38:45
190,7.0,Fotografer,fotografer,1,2021-07-03 21:32:30,2021-07-03 21:32:30
191,6.0,Foto editor,foto-editor,1,2021-07-03 21:32:55,2021-07-03 21:32:55
192,24.0,penata aksara,penata-aksara,1,2021-07-06 10:36:29,2021-07-06 10:36:29
193,23.0,Perwajahan,perwajahan,1,2021-08-03 21:03:06,2021-08-03 21:03:06
194,1.0,penulis,penulis,1,2021-08-14 09:58:52,2021-08-14 09:59:04
195,,penulis,penulis,1,2021-08-14 09:59:19,2021-08-14 09:59:19
