id,name,slug,type,is_creator,show,created_at,updated_at,deleted_at
34,Lighting Engineer,lighting-engineer,6,0,0,2020-03-06 09:51:09,2020-03-06 09:51:09,
35,Teknisi,teknisi,6,0,0,2020-03-06 09:51:47,2020-03-06 09:51:47,
36,Studio Engineer,studio-engineer,6,0,1,2020-03-06 09:52:08,2021-05-05 10:23:02,
37,Kru Lainnya,kru-lainnya,6,0,1,2020-03-06 09:52:26,2021-05-05 10:22:59,
38,Penyanyi / Artis,penyanyi-artis,5,0,0,2020-03-06 10:02:46,2020-06-16 07:33:45,
39,Penata Musik,penata-musik,5,0,0,2020-03-06 10:04:31,2020-03-06 10:05:24,
40,Dirijen / Conductor,dirijen-conductor,5,0,0,2020-03-06 10:05:58,2020-03-06 10:05:58,
41,Produser,produser,5,0,0,2020-03-06 10:06:28,2020-03-06 10:06:28,
42,Music Director,music-director,5,0,0,2020-03-06 10:07:50,2020-03-06 10:07:50,
43,Record Executive,record-executive,5,0,0,2020-03-06 10:08:29,2020-03-06 10:08:29,
44,Studio Engineer,studio-engineer,5,0,0,2020-03-06 10:09:57,2020-03-06 10:09:57,
45,Penulis Lirik,penulis-lirik,5,0,0,2020-03-06 10:10:59,2020-03-06 10:10:59,
46,Penyanyi Latar,penyanyi-latar,5,0,0,2020-03-06 10:11:31,2020-03-06 10:12:41,
47,Sound Engineer,sound-engineer,5,0,0,2020-03-06 10:13:50,2020-03-06 10:13:50,
48,Pemain Gitar,pemain-gitar,5,0,0,2020-03-17 09:00:55,2020-03-17 09:00:55,
49,Pemain Drum,pemain-drum,5,0,0,2020-03-17 09:01:18,2020-03-17 09:01:18,
50,Pemain Bass,pemain-bass,5,0,0,2020-03-17 09:04:10,2020-03-17 09:04:10,
51,Pemain Keyboard,pemain-keyboard,5,0,0,2020-03-17 09:04:40,2020-03-17 09:04:40,
52,Kru Lainnya,kru-lainnya,5,0,0,2020-03-17 09:14:42,2020-03-17 09:14:42,
53,Proofreader,proofreader,1,0,1,2020-04-20 14:13:14,2021-05-05 10:22:34,
54,desain isi,desain-isi,1,0,0,2020-04-20 14:14:17,2021-06-10 06:44:34,
55,Copy editor,copy-editor,1,0,1,2020-04-20 14:17:26,2021-05-05 11:46:12,
56,Layouter,layouter,1,0,0,2020-05-22 13:57:31,2020-05-28 07:51:21,
57,Additional Player,additional-player,5,0,0,2020-06-16 08:22:02,2020-06-16 08:22:02,
58,Pencipta Lagu,pencipta-lagu,5,1,1,2019-11-18 22:55:11,2021-05-05 10:22:26,
59,Komposer,komposer,2,1,1,2019-10-30 14:46:53,2021-05-05 10:22:21,
60,author,author,1,0,1,2019-10-10 07:33:34,2021-05-06 07:36:40,
61,penulis,penulis,1,1,1,2019-10-10 07:33:34,2021-05-05 10:22:15,
62,tim Penyusun,tim-penyusun,1,0,1,2019-10-10 09:21:59,2021-05-06 07:52:36,
66, Sultoni,sultoni,1,0,0,2019-10-15 14:56:49,2019-10-15 14:56:49,
68,desain sampul,desain-sampul,1,0,1,2019-04-09 13:21:08,2021-05-06 07:46:06,
69,translator,translator,1,0,1,2019-05-23 10:20:19,2021-05-05 11:20:29,
70,tata letak / layout,tata-letak-layout,1,0,1,2019-06-25 07:07:40,2021-05-06 07:48:13,
71, penyunting ahli,penyunting-ahli,1,0,0,2019-07-31 14:42:01,2019-07-31 14:42:01,
72,reviewer,reviewer,1,0,1,2019-08-02 11:04:33,2021-05-06 07:38:10,
73,alih bahasa,alih-bahasa,1,0,1,2019-08-02 15:27:00,2021-05-05 10:22:04,
74,penyadur,penyadur,1,0,1,2019-08-02 15:27:00,2021-05-06 07:34:47,
75,editor/penyunting,editorpenyunting,1,0,0,2019-08-02 16:14:37,2021-04-22 13:30:42,
76,penyelaras bahasa,penyelaras-bahasa,1,0,1,2019-08-05 09:43:28,2021-05-05 10:21:55,
77, editors,editors,1,0,0,2019-08-06 11:09:35,2019-08-06 11:09:35,
79, Eeditor,eeditor,1,0,0,2019-08-16 11:38:12,2019-08-16 11:38:12,
80, ilustrator : Pujiyanto,ilustrator-pujiyanto,1,0,0,2019-08-30 14:46:51,2019-08-30 14:46:51,
81, editor Prof. Dr. Murodi,editor-prof-dr-murodi,1,0,0,2019-09-03 09:17:58,2019-09-03 09:17:58,
82,penyunting/editor,penyuntingeditor,1,0,0,2019-09-06 10:38:40,2021-04-22 14:44:30,
83, Editor Materi,editor-materi,1,0,0,2019-09-16 13:35:34,2019-09-16 13:35:34,
84, penejemah,penejemah,1,0,0,2019-09-18 06:42:08,2019-09-18 06:42:08,
85,ilustrasi,ilustrasi,1,0,1,2019-09-18 06:42:08,2021-05-05 10:21:47,
86,translator,translator,1,0,0,2019-09-25 09:11:13,2021-05-05 11:40:00,
87, editing,editing,1,0,0,2019-09-25 09:39:27,2019-09-25 09:39:27,
88,editor alih bahasa,editor-alih-bahasa,1,0,0,2019-09-25 09:39:27,2021-05-03 10:47:49,
89, editor translite,editor-translite,1,0,0,2019-09-25 10:42:34,2019-09-25 10:42:34,
90, Editor translete bahasa,editor-translete-bahasa,1,0,0,2019-09-25 14:09:45,2019-09-25 14:09:45,
91, ilustrasi ingking,ilustrasi-ingking,1,0,0,2019-09-25 14:09:45,2019-09-25 14:09:45,
92, Editor translate bahasa,editor-translate-bahasa,1,0,0,2019-09-25 15:24:18,2019-09-25 15:24:18,
93, co writer,co-writer,1,0,0,2019-10-09 11:26:13,2019-10-09 11:26:13,
94,penyunting,penyunting,1,0,0,2019-10-09 15:40:45,2021-05-05 12:25:39,
95,penyunting bahasa,penyunting-bahasa,1,0,1,2019-10-10 10:27:43,2021-05-06 07:52:14,
96, desain dan ilustrator,desain-dan-ilustrator,1,0,0,2019-10-14 08:58:51,2019-10-14 08:58:51,
97, ilustrator isi,ilustrator-isi,1,0,0,2019-10-14 14:51:23,2019-10-14 14:51:23,
98,content editor,content-editor,1,0,0,2019-10-16 08:27:38,2021-04-28 10:43:16,
99, Gambar ilustrasi,gambar-ilustrasi,1,0,0,2019-10-18 15:33:08,2019-10-18 15:33:08,
100,editor ahli,editor-ahli,1,0,1,2019-10-21 09:23:40,2021-05-06 07:32:39,
101,editor bahasa,editor-bahasa,1,0,1,2019-10-21 13:30:16,2021-05-06 07:32:34,
106,tim editor,tim-editor,1,0,0,2019-11-01 16:25:35,2021-05-06 07:32:03,
107, editor Prof. Dr. Anshari,editor-prof-dr-anshari,1,0,0,2019-11-07 12:27:57,2019-11-07 12:27:57,
108, editor Puspa Dewi,editor-puspa-dewi,1,0,0,2019-11-11 08:30:46,2019-11-11 08:30:46,
110,Ilustrator,ilustrator,1,0,0,2019-11-20 09:36:55,2021-05-05 11:42:08,
111,penyunting isi,penyunting-isi,1,0,1,2019-11-22 10:30:12,2021-05-06 07:51:36,
112,Peredaksi,peredaksi,1,0,1,2019-11-22 14:15:43,2021-05-06 07:30:45,
113,penyunting,penyunting,1,0,1,2019-11-29 15:22:35,2021-05-06 07:44:14,
114, Illustrator,illustrator,1,0,0,2019-12-02 08:07:18,2019-12-02 08:07:18,
115, Penerjemah: S.M. Fitriyah,penerjemah-sm-fitriyah,1,0,0,2019-12-02 08:38:07,2019-12-02 08:38:07,
116,peredaksi,peredaksi,1,0,0,2019-12-02 11:22:17,2021-05-05 12:00:18,
117,Ilustrator,ilustrator,1,0,0,2019-12-03 07:38:42,2021-05-05 11:43:02,
118,penyusun,penyusun,1,0,1,2019-12-03 10:41:41,2021-05-05 10:21:15,
119, Ilusrator,ilusrator,1,0,0,2019-12-03 16:25:53,2019-12-03 16:25:53,
120,penyunting naskah,penyunting-naskah,1,0,1,2019-12-04 09:24:16,2021-05-05 12:15:32,
121, Penyelia,penyelia,1,0,0,2019-12-04 11:08:49,2019-12-04 11:08:49,
122, Editor: Meisesa,editor-meisesa,1,0,0,2019-12-09 13:48:47,2019-12-09 13:48:47,
123,pengkaji,pengkaji,1,0,1,2019-12-10 14:28:01,2021-05-06 07:38:19,
124, Ilsutrator,ilsutrator,1,0,0,2019-12-10 15:38:17,2019-12-10 15:38:17,
125,Ilustrator,ilustrator,1,0,0,2019-12-10 15:59:25,2021-05-05 11:42:18,
126,ilustrator,ilustrator,1,0,0,2019-12-10 16:11:56,2021-05-05 11:41:30,
127,korektor,korektor,1,0,1,2019-12-11 08:05:51,2021-05-06 07:39:51,
128, Ilustrasi sampul dan isi,ilustrasi-sampul-dan-isi,1,0,0,2019-12-11 09:04:19,2019-12-11 09:04:19,
129,Penyunting ilustrasi,penyunting-ilustrasi,1,0,1,2019-12-11 09:04:19,2021-05-06 07:44:55,
130,pengolah data,pengolah-data,1,0,1,2019-12-11 09:19:09,2021-05-06 07:38:35,
131,penyunting naskah,penyunting-naskah,1,0,0,2019-12-11 09:19:45,2021-05-05 12:13:50,
132, ilustrator komik,ilustrator-komik,1,0,0,2019-12-11 10:10:48,2019-12-11 10:10:48,
133,penyunting naskah,penyunting-naskah,1,0,0,2019-12-11 11:08:04,2021-05-05 12:13:40,
134,ilustrasi sampul,ilustrasi-sampul,1,0,1,2019-12-11 11:09:21,2021-05-06 07:47:11,
135,ilustrasi isi,ilustrasi-isi,1,0,1,2019-12-11 11:09:21,2021-05-06 07:46:44,
136, komik,komik,1,0,0,2019-12-11 11:12:46,2019-12-11 11:12:46,
137,pengarang,pengarang,1,0,1,2019-12-11 13:42:46,2021-05-05 10:20:57,
138, gambar,gambar,1,0,0,2019-12-11 14:12:36,2019-12-11 14:12:36,
139,ilustrator,ilustrator,1,0,0,2019-12-11 14:29:03,2021-05-05 11:41:40,
140,ilustrator,ilustrator,1,0,1,2019-12-11 15:17:22,2021-05-06 07:50:43,
141,translator,translator,1,0,0,2019-12-11 16:40:36,2021-05-05 11:39:40,
142,editor,editor,1,0,1,2019-12-11 16:40:36,2021-05-06 07:41:07,
145, ilustrasi isi & sampul,ilustrasi-isi-sampul,1,0,0,2019-12-12 10:42:40,2019-12-12 10:42:40,
146, penyunting bahasa dan penyelaras akhir,penyunting-bahasa-dan-penyelaras-akhir,1,0,0,2019-12-12 10:49:28,2019-12-12 10:49:28,
147, ilustrasi isi dan sampul,ilustrasi-isi-dan-sampul,1,0,0,2019-12-12 10:56:25,2019-12-12 10:56:25,
148,Ilustrator,ilustrator,1,0,0,2019-12-12 11:39:06,2021-05-05 12:41:50,
149,penyelaras aksara,penyelaras-aksara,1,0,1,2019-12-12 14:46:27,2021-05-05 12:24:44,
150,penyunting bahasa,penyunting-bahasa,1,0,0,2019-12-12 14:56:53,2021-05-06 07:52:04,
151,penyunting bahasa,penyunting-bahasa,1,0,0,2019-12-26 14:48:19,2021-05-05 12:14:41,
152, diedit oleh Nabeela Latha Kalla,diedit-oleh-nabeela-latha-kalla,1,0,0,2019-12-27 10:56:18,2019-12-27 10:56:18,
153, diedit oleh Carol Kagezi ,diedit-oleh-carol-kagezi,1,0,0,2019-12-30 07:48:30,2019-12-30 07:48:30,
154,Desain Sampul dan Ilustrasi,desain-sampul-dan-ilustrasi,1,0,0,2019-12-30 14:38:53,2021-04-26 09:49:02,
158, editor Akuisisi,editor-akuisisi,1,0,0,2020-02-03 14:30:20,2020-02-03 14:30:20,
159,penyunting bahasa,penyunting-bahasa,1,0,0,2020-02-06 08:00:22,2021-05-05 12:14:28,
161,penyunting,penyunting,1,0,0,2020-02-24 07:51:39,2021-05-05 11:28:07,
162,tata letak / layout,tata-letak-layout,1,0,0,2020-07-10 15:19:46,2021-05-06 07:48:17,
163,desain isi,desain-isi,1,0,1,2020-07-16 15:51:42,2021-05-05 11:37:18,
164,tim Produksi,tim-produksi,1,0,1,2019-11-20 09:57:51,2021-05-06 07:49:13,
165,penyanyi,penyanyi,5,0,0,2020-03-17 10:08:50,2020-03-17 10:08:50,
166,pemainbass,pemainbass,5,0,1,2020-03-17 10:08:50,2021-05-05 10:19:49,
167,pemaindrum,pemaindrum,5,0,1,2020-03-17 10:08:50,2021-05-05 10:19:46,
168,penyanyi/artis,penyanyiartis,5,0,1,2020-03-17 10:45:40,2021-05-05 10:19:42,
169,musicdirector,musicdirector,5,0,1,2020-03-17 10:46:58,2021-05-05 10:19:38,
170,pemaingitar,pemaingitar,5,0,1,2020-03-17 11:01:39,2021-05-05 10:19:33,
171,penyanyilatar,penyanyilatar,5,0,1,2020-03-17 11:01:39,2021-05-05 10:19:28,
172,penulislirik,penulislirik,5,0,1,2020-03-17 14:13:15,2021-05-05 10:19:23,
173,pemainkeyboard,pemainkeyboard,5,0,1,2020-03-20 08:53:11,2021-05-05 10:19:03,
174,additonal/sessionplayer,additonalsessionplayer,5,0,0,2020-04-01 07:24:41,2020-04-01 07:24:41,
180,krulainnya,krulainnya,5,0,1,2020-06-11 12:40:56,2021-05-05 10:18:56,
181,arranger/penatamusik,arrangerpenatamusik,5,0,1,2020-06-15 07:56:30,2021-05-05 10:18:36,
183,additional/sessionplayer,additionalsessionplayer,5,0,1,2020-07-17 16:12:24,2021-05-05 10:18:41,
184,soundengineer,soundengineer,5,0,1,2020-09-02 10:06:48,2021-05-05 10:18:48,
185,Penanggung jawab,penanggung-jawab,1,0,1,2021-04-29 14:30:06,2021-05-05 10:18:21,
186,penyunting isi,penyunting-isi,1,0,0,2021-05-06 07:45:21,2021-05-06 07:51:33,
187,penyelaras akhir,penyelaras-akhir,1,0,1,2021-05-06 07:48:53,2021-05-21 17:13:30,
188,pemeriksa aksara,pemeriksa-aksara,1,0,1,2021-06-29 14:10:08,2021-06-29 14:10:08,
189,Konsultan,konsultan,1,0,1,2021-06-30 15:38:45,2021-06-30 15:38:45,
190,Fotografer,fotografer,1,0,1,2021-07-03 21:32:30,2021-07-03 21:32:30,
191,Foto editor,foto-editor,1,0,1,2021-07-03 21:32:55,2021-07-03 21:32:55,
192,penata aksara,penata-aksara,1,0,1,2021-07-06 10:36:29,2021-07-06 10:36:29,
193,Perwajahan,perwajahan,1,0,1,2021-08-03 21:03:06,2021-08-03 21:03:06,
194,penulis,penulis,3,0,1,2021-08-14 09:58:52,2021-08-14 09:59:04,
195,penulis,penulis,4,0,1,2021-08-14 09:59:19,2021-08-14 09:59:19,
